State,X ,Y
Andhra Pradesh,-77,-222
Arunachal Pradesh,293,174
Assam,262,117
Bihar,80,86
Chhattisgarh,4,-36
Goa,-217,-202
Gujarat,-261,11
Haryana,-145,187
Himachal Pradesh,-132,263
Jammu and Kashmir,-170,304
Jharkhand,83,20
Karnataka,-170,-224
Kerala,-153,-332
Madhya Pradesh,-123,20
Maharashtra,-186,-84
Manipur,285,76
Meghalaya,200,89
Mizoram,264,26
Nagaland,302,117
Odisha,56,-62
Punjab,-168,227
Rajasthan,-212,109
Sikkim,150,145
Tamil Nadu,-118,-323
Telangana,-92,-126
Tripura,231,37
Uttarakhand,-79,216
Uttar Pradesh,-62,136
West Bengal,127,18
Andaman and Nicobar Islands,277,-266
Chandigarh,-136,225
Dadra and Nagar Haveli,-238,-70
Daman and Diu,-299,-57
Delhi,-122,166
Lakshadweep,-284,-284
Puducherry,-186,-294
Ladakh,-122,337
Aryavarta,-327,269
